distance,single_trip_ticket_fare_per_ride,adult_card_fare_per_ride,senior_citizen_card_fare_per_ride,student_card_fare_per_ride,workfare_transport_concession_card_fare_per_ride,persons_with_disabilities_card_fare_per_ride
Up to 3.2 km,140,77,54,37,63,54
3.3 km - 4.2 km,160,87,61,42,71,61
4.3 km - 5.2 km,160,97,68,47,79,68
5.3 km - 6.2 km,160,107,75,52,87,75
6.3 km - 7.2 km,180,116,81,55,94,81
7.3 km - 8.2 km,180,123,87,58,100,87
8.3 km - 9.2 km,180,129,87,58,106,87
9.3 km - 10.2 km,200,133,87,58,109,87
10.3 km - 11.2 km,200,137,87,58,112,87
11.3 km - 12.2 km,220,141,87,58,115,87
12.3 km - 13.2 km,220,145,87,58,118,87
13.3 km - 14.2 km,220,149,87,58,121,87
14.3 km - 15.2 km,220,153,87,58,124,87
15.3 km - 16.2 km,230,157,87,58,127,87
16.3 km - 17.2 km,230,161,87,58,130,87
17.3 km - 18.2 km,230,165,87,58,133,87
18.3 km - 19.2 km,230,169,87,58,136,87
19.3 km - 20.2 km,240,172,87,58,139,87
20.3 km - 21.2 km,240,175,87,58,142,87
21.3 km - 22.2 km,240,178,87,58,145,87
22.3 km - 23.2 km,240,181,87,58,148,87
23.3 km - 24.2 km,250,183,87,58,150,87
24.3 km - 25.2 km,250,185,87,58,151,87
25.3 km - 26.2 km,250,187,87,58,152,87
26.3 km - 27.2 km,250,188,87,58,153,87
27.3 km - 28.2 km,250,189,87,58,154,87
28.3 km - 29.2 km,250,190,87,58,155,87
29.3 km - 30.2 km,250,191,87,58,156,87
30.3 km - 31.2 km,250,192,87,58,157,87
31.3 km - 32.2 km,250,193,87,58,158,87
32.3 km - 33.2 km,250,194,87,58,159,87
33.3 km - 34.2 km,250,195,87,58,160,87
34.3 km - 35.2 km,250,196,87,58,161,87
35.3 km - 36.2 km,250,197,87,58,162,87
36.3 km - 37.2 km,250,198,87,58,163,87
37.3 km - 38.2 km,250,199,87,58,164,87
38.3 km - 39.2 km,250,200,87,58,165,87
39.3 km - 40.2 km,250,201,87,58,166,87
Over 40.2 km,250,202,87,58,167,87
